StudentCode,FullName,Email,Major
S001,Nguyen Van A,nguyenvana@example.com,Computer Science
S002,Tran Thi B,tranthib@example.com,Information Technology
S003,Le Van C,levanc@example.com,Business Administration
S004,Pham Thi D,phamthid@example.com,Electrical Engineering
S005,Hoang Van E,hoangvane@example.com,Mechanical Engineering
S006,Do Thi F,dothif@example.com,Civil Engineering
S007,Bui Van G,buivang@example.com,Architecture
S008,Dang Thi H,dangthih@example.com,Economics
S009,Vo Van I,vovani@example.com,Marketing
S010,Truong Thi K,truongthik@example.com,Finance
